Module,Fan-in,Fan-out
__main__,0,4
bacon,55,0
imported_by,54,0
imports,29,0
name,55,0
networkx,0,5
path,55,0
praxis,0,5
praxis.activations,0,5
praxis.activations.jagged_sine,0,4
praxis.activations.nmda,0,4
praxis.activations.periodic_relu,0,4
praxis.activations.plot_activations,0,5
praxis.activations.serf,0,4
praxis.activations.sin,0,4
praxis.activations.sin_cos,0,4
praxis.activations.sinlu,0,4
praxis.activations.snake,0,4
praxis.blocks,0,5
praxis.blocks.conv,0,5
praxis.blocks.min,0,5
praxis.blocks.mru,0,5
praxis.blocks.nano,0,5
praxis.blocks.recurrent,0,5
praxis.blocks.transformer,0,5
praxis.configuration_praxis,0,4
praxis.functional,0,5
praxis.functional.alpha_entmax,0,4
praxis.functional.alpha_relu,0,4
praxis.functional.ghostmax,0,4
praxis.losses,0,5
praxis.losses.cross_entropy,0,4
praxis.losses.focal,0,4
praxis.losses.mile,0,4
praxis.losses.stablemax,0,4
praxis.modeling_praxis,0,5
praxis.modules,0,5
praxis.modules.attention,0,5
praxis.modules.behaviors,0,5
praxis.modules.controller,0,4
praxis.modules.decoder,0,5
praxis.modules.dense,0,5
praxis.modules.embeddings,0,4
praxis.modules.encoder,0,5
praxis.modules.encoding,0,4
praxis.modules.evolution,0,4
praxis.modules.experts,0,5
praxis.modules.graph,0,5
praxis.modules.kan,0,5
praxis.modules.memory,0,4
praxis.modules.peer,0,5
praxis.modules.recurrent,0,4
praxis.modules.residual,0,4
praxis.modules.router,0,5
praxis.modules.smear,0,4
praxis.modules.visualization,0,5
praxis.stacks,0,5
praxis.stacks.base,0,5
praxis.tokenizer_praxis,0,4
praxis.utils,0,4
