Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
core,com.spaceproject.ui,CustomShapeRenderer,0.0,0.0,1.0,1.0,0.6666666666666667,0.0
core,com.spaceproject.ui,VisControllerDialog,21.0,14.0,4.0,2.0,0.761904761904762,0.25
core,com.spaceproject.ui,Sprite3D,10.0,10.0,6.0,4.0,1.0625,0.6
core,com.spaceproject.ui,Tile,45.0,35.0,4.0,2.0,0.9,0.18181818181818182
core,com.spaceproject.ui,SpaceBackgroundTile,0.0,0.0,1.0,1.0,0.0,0.0
core,com.spaceproject.ui,ScreenTransitionOverlay,0.0,0.0,1.0,1.0,0.55,0.0
core,com.spaceproject.ui,ControllerMenuStage,1071.0,966.0,24.0,8.0,0.9553571428571428,0.16326530612244897
core,com.spaceproject.ui,IControllerScrollable,0.0,0.0,1.0,1.0,0.0,-1.0
core,com.spaceproject.ui,IControllerManageFocus,1.0,0.0,2.0,2.0,0.0,-1.0
core,com.spaceproject.ui,IControllerActable,1.0,0.0,2.0,2.0,0.0,-1.0
core,com.spaceproject.ui,ShapeRenderActor,0.0,0.0,1.0,1.0,-0.0,0.0
core,com.spaceproject.ui.map,MiniMap,119.0,7.0,3.0,2.0,0.7916666666666666,0.09090909090909091
core,com.spaceproject.ui.menu.tabs,MyTab,1.0,0.0,1.0,1.0,0.5,0.0
core,com.spaceproject.ui.menu.tabs,AboutTab,1.0,0.0,2.0,2.0,0.8333333333333334,0.0
core,com.spaceproject.ui.menu.tabs,HotKeyTab,3.0,0.0,1.0,1.0,0.6666666666666666,0.0
core,com.spaceproject.ui.menu.tabs,KeyConfigTab,26.0,16.0,5.0,2.0,0.6875,0.2222222222222222
core,com.spaceproject.ui.menu.tabs,ConfigManagerTab,10.0,10.0,5.0,5.0,1.0,1.0
core,com.spaceproject.ui.menu.tabs,ConfigTab,88.0,85.0,11.0,8.0,0.9538461538461539,0.5714285714285714
